,city_name,country_code,lat,lon,state_code,timezone,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
0,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,86,105.6,2024-04-30:19,13.0,83.7,47.0,28.67,16.3,2024-05-01T00:00:00,2024-04-30T19:00:00,1714503600
1,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,87,105.6,2024-04-30:20,14.0,78.3,47.0,29.33,15.7,2024-05-01T01:00:00,2024-04-30T20:00:00,1714507200
2,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,89,105.6,2024-04-30:21,15.0,73.0,47.0,30.0,15.0,2024-05-01T02:00:00,2024-04-30T21:00:00,1714510800
3,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,81,95.3,2024-04-30:22,12.7,76.3,42.3,26.33,13.7,2024-05-01T03:00:00,2024-04-30T22:00:00,1714514400
4,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,73,85.0,2024-04-30:23,10.3,79.7,37.7,22.67,12.3,2024-05-01T04:00:00,2024-04-30T23:00:00,1714518000
5,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,65,74.7,2024-05-01:00,8.0,83.0,33.0,19.0,11.0,2024-05-01T05:00:00,2024-05-01T00:00:00,1714521600
6,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,67,82.7,2024-05-01:01,8.0,83.7,35.7,20.0,12.3,2024-05-01T06:00:00,2024-05-01T01:00:00,1714525200
7,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,69,90.7,2024-05-01:02,8.0,84.3,38.3,21.0,13.7,2024-05-01T07:00:00,2024-05-01T02:00:00,1714528800
8,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,72,98.6,2024-05-01:03,8.0,85.0,41.0,22.0,15.0,2024-05-01T08:00:00,2024-05-01T03:00:00,1714532400
9,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,71,87.7,2024-05-01:04,6.0,106.0,44.0,21.67,13.3,2024-05-01T09:00:00,2024-05-01T04:00:00,1714536000
10,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,70,76.8,2024-05-01:05,4.0,127.0,47.0,21.33,11.7,2024-05-01T10:00:00,2024-05-01T05:00:00,1714539600
11,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,85,65.9,2024-05-01:06,2.0,148.0,50.0,21.0,10.0,2024-05-01T11:00:00,2024-05-01T06:00:00,1714543200
12,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,89,64.8,2024-05-01:07,1.7000000000000002,151.3,49.0,20.33,10.7,2024-05-01T12:00:00,2024-05-01T07:00:00,1714546800
13,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,93,63.6,2024-05-01:08,1.3,154.7,48.0,19.67,11.3,2024-05-01T13:00:00,2024-05-01T08:00:00,1714550400
14,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,98,62.4,2024-05-01:09,1.0,158.0,47.0,19.0,12.0,2024-05-01T14:00:00,2024-05-01T09:00:00,1714554000
15,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,94,65.4,2024-05-01:10,2.3,155.0,44.3,18.67,12.3,2024-05-01T15:00:00,2024-05-01T10:00:00,1714557600
16,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,90,68.3,2024-05-01:11,3.7,152.0,41.7,18.33,12.7,2024-05-01T16:00:00,2024-05-01T11:00:00,1714561200
17,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,86,71.2,2024-05-01:12,5.0,149.0,39.0,18.0,13.0,2024-05-01T17:00:00,2024-05-01T12:00:00,1714564800
18,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,76,116.3,2024-05-01:13,13.7,125.7,47.0,24.0,17.0,2024-05-01T18:00:00,2024-05-01T13:00:00,1714568400
19,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,89,161.5,2024-05-01:14,22.3,102.3,55.0,30.0,21.0,2024-05-01T19:00:00,2024-05-01T14:00:00,1714572000
