temp,timestamp_local,aqi,co,no2,o3,pm10,pm25,so2
18.9,01/05/2024 0:00,86,105.6,13,83.7,47,28.67,16.3
18.1,01/05/2024 1:00,87,105.6,14,78.3,47,29.33,15.7
18.1,01/05/2024 2:00,89,105.6,15,73,47,30,15
17.4,01/05/2024 3:00,81,95.3,12.7,76.3,42.3,26.33,13.7
16.7,01/05/2024 4:00,73,85,10.3,79.7,37.7,22.67,12.3
16.7,01/05/2024 5:00,65,74.7,8,83,33,19,11
16.7,01/05/2024 6:00,67,82.7,8,83.7,35.7,20,12.3
18.9,01/05/2024 7:00,69,90.7,8,84.3,38.3,21,13.7
19.6,01/05/2024 8:00,72,98.6,8,85,41,22,15
20.7,01/05/2024 9:00,71,87.7,6,106,44,21.67,13.3
25.2,01/05/2024 10:00,70,76.8,4,127,47,21.33,11.7
26.3,01/05/2024 11:00,85,65.9,2,148,50,21,10
27,01/05/2024 12:00,89,64.8,1.7000000000000002,151.3,49,20.33,10.7
28.9,01/05/2024 13:00,93,63.6,1.3,154.7,48,19.67,11.3
29.3,01/05/2024 14:00,98,62.4,1,158,47,19,12
30,01/05/2024 15:00,94,65.4,2.3,155,44.3,18.67,12.3
30.4,01/05/2024 16:00,90,68.3,3.7,152,41.7,18.33,12.7
30.4,01/05/2024 17:00,86,71.2,5,149,39,18,13
28.9,01/05/2024 18:00,76,116.3,13.7,125.7,47,24,17
24.4,01/05/2024 19:00,89,161.5,22.3,102.3,55,30,21
23.7,01/05/2024 20:00,102,206.6,31,79,63,36,25
23,01/05/2024 21:00,107,235.4,34,65.7,65.3,38,26
21.1,01/05/2024 22:00,112,264.2,37,52.3,67.7,40,27
21.1,01/05/2024 23:00,118,293,40,39,70,42,28
20.4,02/05/2024 0:00,112,279.7,38.3,33,66.3,39.67,24
18.9,02/05/2024 1:00,105,266.5,36.7,27,62.7,37.33,20
18.5,02/05/2024 2:00,100,253.3,35,21,59,35,16
17,02/05/2024 3:00,103,256.4,37.7,15,60.7,36.67,16
17,02/05/2024 4:00,108,259.5,40.3,9,62.3,38.33,16
17.4,02/05/2024 5:00,112,262.6,43,3,64,40,16
17.8,02/05/2024 6:00,110,241,33.7,35.3,63,39,19.7
21.1,02/05/2024 7:00,107,219.4,24.3,67.7,62,38,23.3
22.2,02/05/2024 8:00,104,197.8,15,100,61,37,27
23.7,02/05/2024 9:00,90,165.5,10.7,123,49.7,30.67,29
28.9,02/05/2024 10:00,82,133.3,6.3,146,38.3,24.33,31
30,02/05/2024 11:00,103,101,2,169,27,18,33
30.4,02/05/2024 12:00,102,93.4,2,166.3,26.7,17,27.3
33,02/05/2024 13:00,101,85.8,2,163.7,26.3,16,21.7
33,02/05/2024 14:00,100,78.2,2,161,26,15,16
33.7,02/05/2024 15:00,98,80.7,3,158.7,23.7,14,15
33.7,02/05/2024 16:00,95,83.3,4,156.3,21.3,13,14
33.3,02/05/2024 17:00,92,85.8,5,154,19,12,13
31.9,02/05/2024 18:00,64,122.8,12,131,24.3,16,15.7
27.4,02/05/2024 19:00,67,159.7,19,108,29.7,20,18.3
25.9,02/05/2024 20:00,76,196.7,26,85,35,24,21
25.2,02/05/2024 21:00,82,199.6,25.3,76,38.7,26.67,21
22.6,02/05/2024 22:00,87,202.5,24.7,67,42.3,29.33,21
22.6,02/05/2024 23:00,93,205.4,24,58,46,32,21
23,03/05/2024 0:00,90,213.4,27,46,44.3,30.67,19.3
21.5,03/05/2024 1:00,87,221.4,30,34,42.7,29.33,17.7
20.7,03/05/2024 2:00,85,229.4,33,22,41,28,16
20,03/05/2024 3:00,85,228.8,35.3,17.7,41.7,28.33,16.3
19.6,03/05/2024 4:00,86,228.2,37.7,13.3,42.3,28.67,16.7
19.6,03/05/2024 5:00,87,227.6,40,9,43,29,17
19.3,03/05/2024 6:00,90,229.4,33.3,36.7,46,30.67,19.7
22.6,03/05/2024 7:00,94,231.1,26.7,64.3,49,32.33,22.3
23.3,03/05/2024 8:00,98,232.9,20,92,52,34,25
24.8,03/05/2024 9:00,91,193.2,14.3,125.3,47.7,31,31.3
29.3,03/05/2024 10:00,98,153.5,8.7,158.7,43.3,28,37.7
30,03/05/2024 11:00,110,113.8,3,192,39,25,44
30.7,03/05/2024 12:00,107,106,3,182,38.3,23.67,39.3
31.5,03/05/2024 13:00,104,98.2,3,172,37.7,22.33,34.7
31.5,03/05/2024 14:00,101,90.5,3,162,37,21,30
30.7,03/05/2024 15:00,84,106.4,7.7,147,40,23.33,27.3
30.7,03/05/2024 16:00,80,122.4,12.3,132,43,25.67,24.7
30,03/05/2024 17:00,85,138.3,17,117,46,28,22
29.3,03/05/2024 18:00,87,152.3,18,105,47,29,23
28.9,03/05/2024 19:00,89,166.3,19,93,48,30,24
28.5,03/05/2024 20:00,91,180.3,20,81,49,31,25
27,03/05/2024 21:00,97,163.2,15.7,100,53.3,33.67,32.7
24.8,03/05/2024 22:00,103,146.1,11.3,119,57.7,36.33,40.3
25.2,03/05/2024 23:00,110,129,7,138,62,39,48
24.8,04/05/2024 0:00,95,110.3,6,129.7,52.3,33,36.3
23.7,04/05/2024 1:00,82,91.6,5,121.3,42.7,27,24.7
24.1,04/05/2024 2:00,69,73,4,113,33,21,13
23,04/05/2024 3:00,64,67.5,4,109.3,29.3,18.33,11.3
23.3,04/05/2024 4:00,58,62.1,4,105.7,25.7,15.67,9.7
23.7,04/05/2024 5:00,52,56.6,4,102,22,13,8
23.7,04/05/2024 6:00,56,65,5,98.3,26,15,9.3
26.3,04/05/2024 7:00,61,73.3,6,94.7,30,17,10.7
27,04/05/2024 8:00,65,81.7,7,91,34,19,12
27.4,04/05/2024 9:00,69,75.1,5.3,101.7,45.7,21,11.7
30.4,04/05/2024 10:00,74,68.5,3.7,112.3,57.3,23,11.3
31.1,04/05/2024 11:00,78,61.9,2,123,69,25,11
31.9,04/05/2024 12:00,79,61.1,1.7000000000000002,124.3,73.3,25.33,11
34.4,04/05/2024 13:00,80,60.3,1.3,125.7,77.7,25.67,11
34.8,04/05/2024 14:00,80,59.5,1,127,82,26,11
34.8,04/05/2024 15:00,76,67.9,3,123,76.7,24,11.7
34.4,04/05/2024 16:00,72,76.3,5,119,71.3,22,12.3
33.7,04/05/2024 17:00,67,84.6,7,115,66,20,13
33.3,04/05/2024 18:00,74,121.8,14,97,64,23.33,16
30,04/05/2024 19:00,82,158.9,21,79,62,26.67,19
28.9,04/05/2024 20:00,89,196.1,28,61,60,30,22
28.9,04/05/2024 21:00,88,183.3,24.3,61.3,58.3,29.67,21
26.7,04/05/2024 22:00,87,170.4,20.7,61.7,56.7,29.33,20
26.3,04/05/2024 23:00,87,157.6,17,62,55,29,19
25.9,05/05/2024 0:00,87,145.7,15.3,61.3,53.7,29.33,18.7
25.2,05/05/2024 1:00,88,133.8,13.7,60.7,52.3,29.67,18.3
24.8,05/05/2024 2:00,89,122,12,60,51,30,18
24.4,05/05/2024 3:00,85,116.5,12.7,51.7,47.7,28,15.3
23.7,05/05/2024 4:00,80,111.1,13.3,43.3,44.3,26,12.7
23.3,05/05/2024 5:00,76,105.6,14,35,41,24,10
23.3,05/05/2024 6:00,80,119.2,13.3,45.7,44.3,25.67,12
25.2,05/05/2024 7:00,83,132.9,12.7,56.3,47.7,27.33,14
25.9,05/05/2024 8:00,87,146.5,12,67,51,29,16
26.7,05/05/2024 9:00,82,130.5,9,95.3,54.7,27,17.3
31.9,05/05/2024 10:00,78,114.6,6,123.7,58.3,25,18.7
33,05/05/2024 11:00,90,98.6,3,152,62,23,20
33.7,05/05/2024 12:00,84,89.5,2.3,147,65.7,21.67,18.7
35.9,05/05/2024 13:00,78,80.3,1.7000000000000002,142,69.3,20.33,17.3
36.3,05/05/2024 14:00,71,71.2,1,137,73,19,16
36.3,05/05/2024 15:00,67,72.9,2.3,133.3,73.7,18.33,14.7
36.3,05/05/2024 16:00,62,74.7,3.7,129.7,74.3,17.67,13.3
35.9,05/05/2024 17:00,61,76.5,5,126,75,17,12
35.2,05/05/2024 18:00,64,91.4,7.7,113,65.3,18.67,14.3
31.5,05/05/2024 19:00,68,106.4,10.3,100,55.7,20.33,16.7
30.7,05/05/2024 20:00,72,121.4,13,87,46,22,19
30,05/05/2024 21:00,72,125.5,13.3,84.3,46.3,22.33,20.7
27.8,05/05/2024 22:00,73,129.6,13.7,81.7,46.7,22.67,22.3
27.4,05/05/2024 23:00,74,133.6,14,79,47,23,24
27,06/05/2024 0:00,75,139.9,16.7,65.7,48.3,23.67,22
25.6,06/05/2024 1:00,77,146.1,19.3,52.3,49.7,24.33,20
24.8,06/05/2024 2:00,78,152.3,22,39,51,25,18
23.7,06/05/2024 3:00,79,168.3,26.7,27.3,50.3,25.33,16.3
23.7,06/05/2024 4:00,80,184.2,31.3,15.7,49.7,25.67,14.7
