,city_name,country_code,lat,lon,state_code,timezone,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
0,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,75,124.1,2024-03-31:19,10.0,61.3,41.7,23.67,21.7,2024-04-01T00:00:00,2024-03-31T19:00:00,1711911600
1,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,74,125.1,2024-03-31:20,10.0,56.7,40.3,23.33,21.3,2024-04-01T01:00:00,2024-03-31T20:00:00,1711915200
2,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,74,126.1,2024-03-31:21,10.0,52.0,39.0,23.0,21.0,2024-04-01T02:00:00,2024-03-31T21:00:00,1711918800
3,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,75,134.8,2024-03-31:22,11.0,44.0,39.7,23.67,19.0,2024-04-01T03:00:00,2024-03-31T22:00:00,1711922400
4,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,77,143.6,2024-03-31:23,12.0,36.0,40.3,24.33,17.0,2024-04-01T04:00:00,2024-03-31T23:00:00,1711926000
5,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,78,152.3,2024-04-01:00,13.0,28.0,41.0,25.0,15.0,2024-04-01T05:00:00,2024-04-01T00:00:00,1711929600
6,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,80,164.8,2024-04-01:01,12.7,34.0,42.7,26.0,17.3,2024-04-01T06:00:00,2024-04-01T01:00:00,1711933200
7,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,82,177.2,2024-04-01:02,12.3,40.0,44.3,27.0,19.7,2024-04-01T07:00:00,2024-04-01T02:00:00,1711936800
8,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,85,189.7,2024-04-01:03,12.0,46.0,46.0,28.0,22.0,2024-04-01T08:00:00,2024-04-01T03:00:00,1711940400
9,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,82,165.0,2024-04-01:04,9.3,77.3,46.7,26.67,24.3,2024-04-01T09:00:00,2024-04-01T04:00:00,1711944000
10,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,79,140.3,2024-04-01:05,6.7,108.7,47.3,25.33,26.7,2024-04-01T10:00:00,2024-04-01T05:00:00,1711947600
11,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,76,115.6,2024-04-01:06,4.0,140.0,48.0,24.0,29.0,2024-04-01T11:00:00,2024-04-01T06:00:00,1711951200
12,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,75,102.5,2024-04-01:07,3.3,140.3,44.7,21.67,24.7,2024-04-01T12:00:00,2024-04-01T07:00:00,1711954800
13,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,76,89.5,2024-04-01:08,2.7,140.7,41.3,19.33,20.3,2024-04-01T13:00:00,2024-04-01T08:00:00,1711958400
14,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,76,76.5,2024-04-01:09,2.0,141.0,38.0,17.0,16.0,2024-04-01T14:00:00,2024-04-01T09:00:00,1711962000
15,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,70,78.0,2024-04-01:10,3.0,136.0,33.0,15.33,16.3,2024-04-01T15:00:00,2024-04-01T10:00:00,1711965600
16,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,64,79.6,2024-04-01:11,4.0,131.0,28.0,13.67,16.7,2024-04-01T16:00:00,2024-04-01T11:00:00,1711969200
17,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,58,81.1,2024-04-01:12,5.0,126.0,23.0,12.0,17.0,2024-04-01T17:00:00,2024-04-01T12:00:00,1711972800
18,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,61,130.3,2024-04-01:13,13.7,104.3,29.0,17.0,21.0,2024-04-01T18:00:00,2024-04-01T13:00:00,1711976400
19,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,72,179.6,2024-04-01:14,22.3,82.7,35.0,22.0,25.0,2024-04-01T19:00:00,2024-04-01T14:00:00,1711980000
20,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,82,228.8,2024-04-01:15,31.0,61.0,41.0,27.0,29.0,2024-04-01T20:00:00,2024-04-01T15:00:00,1711983600
21,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,85,243.6,2024-04-01:16,31.3,54.0,43.0,28.33,30.0,2024-04-01T21:00:00,2024-04-01T16:00:00,1711987200
22,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,88,258.3,2024-04-01:17,31.7,47.0,45.0,29.67,31.0,2024-04-01T22:00:00,2024-04-01T17:00:00,1711990800
23,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,91,273.1,2024-04-01:18,32.0,40.0,47.0,31.0,32.0,2024-04-01T23:00:00,2024-04-01T18:00:00,1711994400
24,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,90,275.1,2024-04-01:19,31.7,33.0,46.3,30.67,28.7,2024-04-02T00:00:00,2024-04-01T19:00:00,1711998000
25,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,90,277.0,2024-04-01:20,31.3,26.0,45.7,30.33,25.3,2024-04-02T01:00:00,2024-04-01T20:00:00,1712001600
26,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,89,279.0,2024-04-01:21,31.0,19.0,45.0,30.0,22.0,2024-04-02T02:00:00,2024-04-01T21:00:00,1712005200
27,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,90,277.0,2024-04-01:22,30.0,15.7,46.0,30.67,20.0,2024-04-02T03:00:00,2024-04-01T22:00:00,1712008800
