,city_name,country_code,timestamp_local,aqi,co,no2,o3,pm10,pm25,so2
0,Gujrat,PK,2024-05-01T14:00:00,98,65,1,158,46,19,16
1,Gujrat,PK,2024-05-01T15:00:00,95,66,1,156,45,19,16
2,Gujrat,PK,2024-05-01T16:00:00,92,67,2,153,45,19,15
3,Gujrat,PK,2024-05-01T17:00:00,88,69,3,150,44,18,14
4,Gujrat,PK,2024-05-01T18:00:00,86,88,7,136,43,20,16
5,Gujrat,PK,2024-05-01T19:00:00,84,112,12,119,43,22,18
6,Gujrat,PK,2024-05-01T20:00:00,82,139,17,100,42,24,20
7,Gujrat,PK,2024-05-01T21:00:00,83,153,18,88,42,25,21
8,Gujrat,PK,2024-05-01T22:00:00,84,167,20,74,42,26,22
9,Gujrat,PK,2024-05-01T23:00:00,85,183,21,60,42,28,23
10,Gujrat,PK,2024-05-02T00:00:00,81,180,21,53,39,26,21
11,Gujrat,PK,2024-05-02T01:00:00,78,176,22,46,36,25,20
12,Gujrat,PK,2024-05-02T02:00:00,74,173,22,39,33,23,18
13,Gujrat,PK,2024-05-02T03:00:00,75,178,24,32,33,23,18
14,Gujrat,PK,2024-05-02T04:00:00,75,182,27,26,34,24,17
15,Gujrat,PK,2024-05-02T05:00:00,76,187,29,19,34,24,17
16,Gujrat,PK,2024-05-02T06:00:00,77,189,24,41,35,25,20
17,Gujrat,PK,2024-05-02T07:00:00,79,192,20,64,37,25,24
18,Gujrat,PK,2024-05-02T08:00:00,80,194,15,86,38,26,27
19,Gujrat,PK,2024-05-02T09:00:00,86,159,11,110,32,21,27
20,Gujrat,PK,2024-05-02T10:00:00,93,125,6,135,25,17,28
21,Gujrat,PK,2024-05-02T11:00:00,99,90,2,159,19,12,28
22,Gujrat,PK,2024-05-02T12:00:00,97,83,2,158,17,11,24
23,Gujrat,PK,2024-05-02T13:00:00,96,76,1,156,14,9,19
24,Gujrat,PK,2024-05-02T14:00:00,94,69,1,155,12,8,15
25,Gujrat,PK,2024-05-02T15:00:00,88,71,2,150,12,8,15
26,Gujrat,PK,2024-05-02T16:00:00,81,73,3,145,12,8,15
27,Gujrat,PK,2024-05-02T17:00:00,75,75,4,140,12,8,15
28,Gujrat,PK,2024-05-02T18:00:00,72,104,10,119,18,12,17
29,Gujrat,PK,2024-05-02T19:00:00,70,134,15,98,23,16,19
30,Gujrat,PK,2024-05-02T20:00:00,67,164,21,77,29,20,21
31,Gujrat,PK,2024-05-02T21:00:00,71,181,23,67,31,22,22
32,Gujrat,PK,2024-05-02T22:00:00,74,197,24,58,33,23,22
33,Gujrat,PK,2024-05-02T23:00:00,78,214,26,48,35,25,23
34,Gujrat,PK,2024-05-03T00:00:00,74,203,25,45,33,23,21
35,Gujrat,PK,2024-05-03T01:00:00,71,191,23,41,30,22,19
36,Gujrat,PK,2024-05-03T02:00:00,67,179,22,38,28,20,17
37,Gujrat,PK,2024-05-03T03:00:00,69,178,23,33,29,21,17
38,Gujrat,PK,2024-05-03T04:00:00,70,178,24,29,30,21,16
39,Gujrat,PK,2024-05-03T05:00:00,72,177,25,24,31,22,16
40,Gujrat,PK,2024-05-03T06:00:00,76,179,21,44,34,24,20
41,Gujrat,PK,2024-05-03T07:00:00,81,182,18,63,38,26,24
42,Gujrat,PK,2024-05-03T08:00:00,85,184,14,83,41,28,28
43,Gujrat,PK,2024-05-03T09:00:00,91,157,10,113,36,24,30
44,Gujrat,PK,2024-05-03T10:00:00,98,129,7,143,31,21,31
45,Gujrat,PK,2024-05-03T11:00:00,104,102,3,173,26,17,33
46,Gujrat,PK,2024-05-03T12:00:00,101,93,3,167,24,15,28
47,Gujrat,PK,2024-05-03T13:00:00,98,84,2,162,23,14,23
48,Gujrat,PK,2024-05-03T14:00:00,95,75,2,156,21,12,18
49,Gujrat,PK,2024-05-03T15:00:00,81,84,5,142,22,13,18
50,Gujrat,PK,2024-05-03T16:00:00,68,92,7,127,23,13,19
51,Gujrat,PK,2024-05-03T17:00:00,54,101,10,113,24,14,19
52,Gujrat,PK,2024-05-03T18:00:00,63,130,15,96,29,18,21
53,Gujrat,PK,2024-05-03T19:00:00,71,160,20,80,35,22,23
54,Gujrat,PK,2024-05-03T20:00:00,80,189,25,63,40,26,25
55,Gujrat,PK,2024-05-03T21:00:00,79,208,27,55,39,26,26
56,Gujrat,PK,2024-05-03T22:00:00,79,228,28,47,37,25,26
57,Gujrat,PK,2024-05-03T23:00:00,78,247,30,39,36,25,27
58,Gujrat,PK,2024-05-04T00:00:00,77,219,25,51,35,25,26
59,Gujrat,PK,2024-05-04T01:00:00,77,190,21,62,35,24,24
60,Gujrat,PK,2024-05-04T02:00:00,76,162,16,74,34,24,23
61,Gujrat,PK,2024-05-04T03:00:00,69,144,14,80,31,21,21
62,Gujrat,PK,2024-05-04T04:00:00,63,126,11,87,28,18,19
63,Gujrat,PK,2024-05-04T05:00:00,56,107,9,93,25,15,17
64,Gujrat,PK,2024-05-04T06:00:00,61,119,10,92,29,17,19
65,Gujrat,PK,2024-05-04T07:00:00,67,130,10,91,33,20,21
66,Gujrat,PK,2024-05-04T08:00:00,72,142,11,90,37,22,23
67,Gujrat,PK,2024-05-04T09:00:00,84,133,8,121,42,24,30
68,Gujrat,PK,2024-05-04T10:00:00,95,124,6,151,48,27,38
69,Gujrat,PK,2024-05-04T11:00:00,107,114,3,182,53,29,45
70,Gujrat,PK,2024-05-04T12:00:00,107,107,3,183,55,28,41
71,Gujrat,PK,2024-05-04T13:00:00,107,100,2,183,58,28,37
