time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
2022-08-04T00:00,85.9,59.8,588,13.9,9.4,87
2022-08-04T01:00,77.5,53.8,580,13.9,11,93
2022-08-04T02:00,68.7,47.5,568,14,13.4,101
2022-08-04T03:00,62.9,43.2,543,13.2,15.7,115
2022-08-04T04:00,60.1,41,511,11.1,16,130
2022-08-04T05:00,62.6,42.8,471,8.3,15.6,148
2022-08-04T06:00,66.1,45.3,427,5.2,14.6,168
2022-08-04T07:00,66.4,45.4,409,4.2,13.9,177
2022-08-04T08:00,65.4,44.7,398,3.8,12.9,183
2022-08-04T09:00,65.7,44.9,391,4,11.9,187
2022-08-04T10:00,62.4,42.7,383,4,11.8,188
2022-08-04T11:00,61,41.7,378,4.2,11.9,186
2022-08-04T12:00,61,41.7,372,7.3,11.2,173
2022-08-04T13:00,67.3,46.3,461,18.2,11.9,150
2022-08-04T14:00,73.3,50.8,587,33.8,12.9,118
2022-08-04T15:00,79.2,54.8,723,48.8,14.4,84
2022-08-04T16:00,81.7,56.7,770,50.6,15.5,74
2022-08-04T17:00,81.7,56.8,790,47.7,16.6,71
2022-08-04T18:00,79.9,55.4,777,41,17.4,71
2022-08-04T19:00,75,52,730,35,17,71
2022-08-04T20:00,68.7,47.6,656,27.4,16,73
2022-08-04T21:00,61,42.3,553,18.1,13.9,79
2022-08-04T22:00,47.4,32.7,477,12.6,11.2,86
2022-08-04T23:00,33.1,22.8,399,7.9,7.8,96
2022-08-05T00:00,23.5,16.3,332,4.3,4,100
2022-08-05T01:00,22.5,15.4,331,5.7,3.7,100
2022-08-05T02:00,24.5,16.7,329,7.5,3.2,101
2022-08-05T03:00,27.4,18.7,334,9.1,3.6,104
2022-08-05T04:00,29.7,20.5,351,8.9,5.5,109
2022-08-05T05:00,39.9,27.4,373,7.9,8.2,116
2022-08-05T06:00,52.4,36,389,6.5,11,127
2022-08-05T07:00,56.9,38.9,376,5.2,11.5,139
2022-08-05T08:00,55.1,37.4,350,3.8,11.2,152
2022-08-05T09:00,53.3,36.1,320,2.8,10.5,164
2022-08-05T10:00,54.6,37,297,1.6,9.9,166
2022-08-05T11:00,54.6,37,274,0.6,9,163
2022-08-05T12:00,52.5,36.7,334,13.9,7.1,86
2022-08-05T13:00,46.3,32.4,351,17.4,6.4,77
2022-08-05T14:00,44.1,31,376,22.3,5.6,64
2022-08-05T15:00,43,30.3,409,27.6,4.7,49
2022-08-05T16:00,42.4,29.8,434,29.8,4.2,42
2022-08-05T17:00,42.1,29.6,460,30.9,4,38
2022-08-05T18:00,43.2,30.4,479,30.5,3.8,35
2022-08-05T19:00,43.7,30.7,475,28.3,3.8,35
2022-08-05T20:00,44.9,31.5,460,24.7,4.2,37
2022-08-05T21:00,44.7,31.4,432,19.8,4.3,41
2022-08-05T22:00,45.3,31.8,402,15.9,4.1,46
2022-08-05T23:00,41.9,29.5,365,11.9,3.7,53
2022-08-06T00:00,48.2,33.9,423,15.4,2.8,36
2022-08-06T01:00,48.5,34.1,438,18,2.9,35
2022-08-06T02:00,47.7,33.5,459,21.6,3,34
2022-08-06T03:00,46.4,32.6,467,23.8,3.3,39
2022-08-06T04:00,42,29.5,443,21.2,4.2,51
2022-08-06T05:00,38.2,26.8,403,16.4,5.3,67
2022-08-06T06:00,37.7,26.5,351,10.4,6.2,88
2022-08-06T07:00,34.9,24.5,319,7.5,5.8,101
2022-08-06T08:00,32.4,22.7,288,5,4.8,114
2022-08-06T09:00,29.9,21,258,3,3.7,125
2022-08-06T10:00,27.6,19.4,235,1.1,3.3,130
2022-08-06T11:00,25.9,18.2,216,-0.3,3.1,131
2022-08-06T12:00,35,24.6,287,5.4,6.2,153
2022-08-06T13:00,36.6,25.6,403,22.2,7.1,131
2022-08-06T14:00,48.9,34.2,569,46.1,8.4,100
2022-08-06T15:00,66.4,46.4,764,70.1,10.7,66
2022-08-06T16:00,79.9,56,854,73.6,12.9,55
2022-08-06T17:00,83.6,58.6,919,70.1,15.3,50
2022-08-06T18:00,80.8,56.6,976,65.8,18,45
2022-08-06T19:00,78.7,55.1,987,67.4,19.2,40
2022-08-06T20:00,83.1,58.2,976,70.2,20.1,35
2022-08-06T21:00,92.4,64.7,978,72.1,20.1,29
2022-08-06T22:00,101.3,70.8,1029,71.4,18.5,21
2022-08-06T23:00,104.3,73.1,1099,69.4,16,12
2022-08-07T00:00,122.9,85.9,1231,75.8,23.9,15
2022-08-07T01:00,121.1,84.5,1152,65.9,22.6,33
2022-08-07T02:00,116.9,82,1040,51.7,20.9,60
2022-08-07T03:00,99.7,69.6,884,34.3,20.2,95
2022-08-07T04:00,86.8,60.8,773,25.1,23,119
2022-08-07T05:00,75,52.4,660,17.5,27.4,143
2022-08-07T06:00,68.5,47.8,536,9.8,30.4,168
2022-08-07T07:00,61,42.6,474,6.3,27.6,178
2022-08-07T08:00,54.7,38.3,432,4.6,22.3,183
2022-08-07T09:00,49.7,34.7,395,3.7,16.4,186
2022-08-07T10:00,46.7,32.6,366,2,14.9,190
2022-08-07T11:00,45.2,31.5,346,0.6,14.4,193
2022-08-07T12:00,53.9,37.5,411,7.1,20,196
2022-08-07T13:00,59.3,41.2,443,11.2,19,180
2022-08-07T14:00,64.3,44.5,489,17,17.7,157
2022-08-07T15:00,61,42,540,23.3,16.1,128
2022-08-07T16:00,57.5,39.5,560,25.5,15.4,110
2022-08-07T17:00,57.6,39.7,570,26.4,14.9,93
2022-08-07T18:00,60.8,41.8,570,25.8,14,76
2022-08-07T19:00,61,42,555,23.6,12.7,69
2022-08-07T20:00,60.8,41.8,529,20.2,11.1,65
2022-08-07T21:00,60.1,41.3,494,15.9,9.6,63
2022-08-07T22:00,59.1,40.6,470,13.4,9.2,63
