,city_name,country_code,lat,lon,state_code,timezone,aqi,co,datetime,no2,o3,pm10,pm25,so2,timestamp_local,timestamp_utc,ts
0,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,163,307.8,2024-02-29:19,19.0,43.0,98.3,65.0,35.7,2024-03-01T00:00:00,2024-02-29T19:00:00,1709233200
1,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,161,303.9,2024-02-29:20,18.0,42.0,96.7,64.0,35.3,2024-03-01T01:00:00,2024-02-29T20:00:00,1709236800
2,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,160,300.0,2024-02-29:21,17.0,41.0,95.0,63.0,35.0,2024-03-01T02:00:00,2024-02-29T21:00:00,1709240400
3,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,151,297.6,2024-02-29:22,16.0,37.3,84.3,56.33,31.3,2024-03-01T03:00:00,2024-02-29T22:00:00,1709244000
4,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,139,295.3,2024-02-29:23,15.0,33.7,73.7,49.67,27.7,2024-03-01T04:00:00,2024-02-29T23:00:00,1709247600
5,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,121,293.0,2024-03-01:00,14.0,30.0,63.0,43.0,24.0,2024-03-01T05:00:00,2024-03-01T00:00:00,1709251200
6,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,122,283.8,2024-03-01:01,14.3,30.3,65.7,43.67,26.0,2024-03-01T06:00:00,2024-03-01T01:00:00,1709254800
7,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,124,274.7,2024-03-01:02,14.7,30.7,68.3,44.33,28.0,2024-03-01T07:00:00,2024-03-01T02:00:00,1709258400
8,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,126,265.5,2024-03-01:03,15.0,31.0,71.0,45.0,30.0,2024-03-01T08:00:00,2024-03-01T03:00:00,1709262000
9,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,132,268.7,2024-03-01:04,14.7,38.3,76.0,47.33,30.7,2024-03-01T09:00:00,2024-03-01T04:00:00,1709265600
10,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,139,271.8,2024-03-01:05,14.3,45.7,81.0,49.67,31.3,2024-03-01T10:00:00,2024-03-01T05:00:00,1709269200
11,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,145,274.9,2024-03-01:06,14.0,53.0,86.0,52.0,32.0,2024-03-01T11:00:00,2024-03-01T06:00:00,1709272800
12,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,141,257.6,2024-03-01:07,12.3,66.0,83.3,50.67,29.7,2024-03-01T12:00:00,2024-03-01T07:00:00,1709276400
13,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,138,240.2,2024-03-01:08,10.7,79.0,80.7,49.33,27.3,2024-03-01T13:00:00,2024-03-01T08:00:00,1709280000
14,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,134,222.9,2024-03-01:09,9.0,92.0,78.0,48.0,25.0,2024-03-01T14:00:00,2024-03-01T09:00:00,1709283600
15,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,108,173.5,2024-03-01:10,8.0,84.7,66.0,38.33,19.3,2024-03-01T15:00:00,2024-03-01T10:00:00,1709287200
16,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,86,124.1,2024-03-01:11,7.0,77.3,54.0,28.67,13.7,2024-03-01T16:00:00,2024-03-01T11:00:00,1709290800
17,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,65,74.7,2024-03-01:12,6.0,70.0,42.0,19.0,8.0,2024-03-01T17:00:00,2024-03-01T12:00:00,1709294400
18,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,72,80.5,2024-03-01:13,7.0,68.7,49.7,22.0,8.7,2024-03-01T18:00:00,2024-03-01T13:00:00,1709298000
19,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,78,86.4,2024-03-01:14,8.0,67.3,57.3,25.0,9.3,2024-03-01T19:00:00,2024-03-01T14:00:00,1709301600
20,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,85,92.2,2024-03-01:15,9.0,66.0,65.0,28.0,10.0,2024-03-01T20:00:00,2024-03-01T15:00:00,1709305200
21,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,87,94.0,2024-03-01:16,8.7,65.0,65.0,29.0,11.0,2024-03-01T21:00:00,2024-03-01T16:00:00,1709308800
22,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,89,95.7,2024-03-01:17,8.3,64.0,65.0,30.0,12.0,2024-03-01T22:00:00,2024-03-01T17:00:00,1709312400
23,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,91,97.5,2024-03-01:18,8.0,63.0,65.0,31.0,13.0,2024-03-01T23:00:00,2024-03-01T18:00:00,1709316000
24,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,90,92.0,2024-03-01:19,7.0,63.0,62.0,30.33,13.0,2024-03-02T00:00:00,2024-03-01T19:00:00,1709319600
25,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,88,86.6,2024-03-01:20,6.0,63.0,59.0,29.67,13.0,2024-03-02T01:00:00,2024-03-01T20:00:00,1709323200
26,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,87,81.1,2024-03-01:21,5.0,63.0,56.0,29.0,13.0,2024-03-02T02:00:00,2024-03-01T21:00:00,1709326800
27,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,94,81.5,2024-03-01:22,4.3,69.3,61.7,32.33,17.0,2024-03-02T03:00:00,2024-03-01T22:00:00,1709330400
28,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,101,81.9,2024-03-01:23,3.7,75.7,67.3,35.67,21.0,2024-03-02T04:00:00,2024-03-01T23:00:00,1709334000
29,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,110,82.3,2024-03-02:00,3.0,82.0,73.0,39.0,25.0,2024-03-02T05:00:00,2024-03-02T00:00:00,1709337600
30,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,112,87.9,2024-03-02:01,3.7,79.7,74.3,39.67,25.7,2024-03-02T06:00:00,2024-03-02T01:00:00,1709341200
31,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,113,93.6,2024-03-02:02,4.3,77.3,75.7,40.33,26.3,2024-03-02T07:00:00,2024-03-02T02:00:00,1709344800
32,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,115,99.2,2024-03-02:03,5.0,75.0,77.0,41.0,27.0,2024-03-02T08:00:00,2024-03-02T03:00:00,1709348400
33,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,115,97.1,2024-03-02:04,4.3,79.3,78.3,41.0,25.0,2024-03-02T09:00:00,2024-03-02T04:00:00,1709352000
34,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,115,94.9,2024-03-02:05,3.7,83.7,79.7,41.0,23.0,2024-03-02T10:00:00,2024-03-02T05:00:00,1709355600
35,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,115,92.8,2024-03-02:06,3.0,88.0,81.0,41.0,21.0,2024-03-02T11:00:00,2024-03-02T06:00:00,1709359200
36,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,107,92.0,2024-03-02:07,3.0,91.7,73.7,38.0,21.0,2024-03-02T12:00:00,2024-03-02T07:00:00,1709362800
37,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,100,91.2,2024-03-02:08,3.0,95.3,66.3,35.0,21.0,2024-03-02T13:00:00,2024-03-02T08:00:00,1709366400
38,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,93,90.5,2024-03-02:09,3.0,99.0,59.0,32.0,21.0,2024-03-02T14:00:00,2024-03-02T09:00:00,1709370000
39,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,94,90.8,2024-03-02:10,4.0,92.0,63.7,32.33,19.3,2024-03-02T15:00:00,2024-03-02T10:00:00,1709373600
40,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,95,91.2,2024-03-02:11,5.0,85.0,68.3,32.67,17.7,2024-03-02T16:00:00,2024-03-02T11:00:00,1709377200
41,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,95,91.6,2024-03-02:12,6.0,78.0,73.0,33.0,16.0,2024-03-02T17:00:00,2024-03-02T12:00:00,1709380800
42,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,94,94.9,2024-03-02:13,6.3,79.3,67.0,32.33,17.7,2024-03-02T18:00:00,2024-03-02T13:00:00,1709384400
43,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,92,98.2,2024-03-02:14,6.7,80.7,61.0,31.67,19.3,2024-03-02T19:00:00,2024-03-02T14:00:00,1709388000
44,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,91,101.5,2024-03-02:15,7.0,82.0,55.0,31.0,21.0,2024-03-02T20:00:00,2024-03-02T15:00:00,1709391600
45,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,90,100.8,2024-03-02:16,6.7,81.0,53.3,30.33,22.0,2024-03-02T21:00:00,2024-03-02T16:00:00,1709395200
46,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,88,100.0,2024-03-02:17,6.3,80.0,51.7,29.67,23.0,2024-03-02T22:00:00,2024-03-02T17:00:00,1709398800
47,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,87,99.2,2024-03-02:18,6.0,79.0,50.0,29.0,24.0,2024-03-02T23:00:00,2024-03-02T18:00:00,1709402400
48,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,75,98.2,2024-03-02:19,6.3,76.0,39.7,23.67,24.0,2024-03-03T00:00:00,2024-03-02T19:00:00,1709406000
49,Gujrāt,PK,32.57284,74.07897,4,Asia/Karachi,64,97.3,2024-03-02:20,6.7,73.0,29.3,18.33,24.0,2024-03-03T01:00:00,2024-03-02T20:00:00,1709409600
