,city_name,country_code,timestamp_local,aqi,co,no2,o3,pm10,pm25,so2
0,Gujrāt,PK,2024-05-01 00:00:00,86,105.6,13.0,83.7,47.0,28.67,16.3
1,Gujrāt,PK,2024-05-01 01:00:00,87,105.6,14.0,78.3,47.0,29.33,15.7
2,Gujrāt,PK,2024-05-01 02:00:00,89,105.6,15.0,73.0,47.0,30.0,15.0
3,Gujrāt,PK,2024-05-01 03:00:00,81,95.3,12.7,76.3,42.3,26.33,13.7
4,Gujrāt,PK,2024-05-01 04:00:00,73,85.0,10.3,79.7,37.7,22.67,12.3
5,Gujrāt,PK,2024-05-01 05:00:00,65,74.7,8.0,83.0,33.0,19.0,11.0
6,Gujrāt,PK,2024-05-01 06:00:00,67,82.7,8.0,83.7,35.7,20.0,12.3
7,Gujrāt,PK,2024-05-01 07:00:00,69,90.7,8.0,84.3,38.3,21.0,13.7
8,Gujrāt,PK,2024-05-01 08:00:00,72,98.6,8.0,85.0,41.0,22.0,15.0
9,Gujrāt,PK,2024-05-01 09:00:00,71,87.7,6.0,106.0,44.0,21.67,13.3
10,Gujrāt,PK,2024-05-01 10:00:00,70,76.8,4.0,127.0,47.0,21.33,11.7
11,Gujrāt,PK,2024-05-01 11:00:00,85,65.9,2.0,148.0,50.0,21.0,10.0
12,Gujrāt,PK,2024-05-01 12:00:00,89,64.8,1.7000000000000002,151.3,49.0,20.33,10.7
13,Gujrāt,PK,2024-05-01 13:00:00,93,63.6,1.3,154.7,48.0,19.67,11.3
14,Gujrāt,PK,2024-05-01 14:00:00,98,62.4,1.0,158.0,47.0,19.0,12.0
15,Gujrāt,PK,2024-05-01 15:00:00,94,65.4,2.3,155.0,44.3,18.67,12.3
16,Gujrāt,PK,2024-05-01 16:00:00,90,68.3,3.7,152.0,41.7,18.33,12.7
17,Gujrāt,PK,2024-05-01 17:00:00,86,71.2,5.0,149.0,39.0,18.0,13.0
18,Gujrāt,PK,2024-05-01 18:00:00,76,116.3,13.7,125.7,47.0,24.0,17.0
19,Gujrāt,PK,2024-05-01 19:00:00,89,161.5,22.3,102.3,55.0,30.0,21.0
20,Gujrāt,PK,2024-05-01 20:00:00,102,206.6,31.0,79.0,63.0,36.0,25.0
21,Gujrāt,PK,2024-05-01 21:00:00,107,235.4,34.0,65.7,65.3,38.0,26.0
22,Gujrāt,PK,2024-05-01 22:00:00,112,264.2,37.0,52.3,67.7,40.0,27.0
23,Gujrāt,PK,2024-05-01 23:00:00,118,293.0,40.0,39.0,70.0,42.0,28.0
24,Gujrāt,PK,2024-05-02 00:00:00,112,279.7,38.3,33.0,66.3,39.67,24.0
25,Gujrāt,PK,2024-05-02 01:00:00,105,266.5,36.7,27.0,62.7,37.33,20.0
26,Gujrāt,PK,2024-05-02 02:00:00,100,253.3,35.0,21.0,59.0,35.0,16.0
27,Gujrāt,PK,2024-05-02 03:00:00,103,256.4,37.7,15.0,60.7,36.67,16.0
28,Gujrāt,PK,2024-05-02 04:00:00,108,259.5,40.3,9.0,62.3,38.33,16.0
29,Gujrāt,PK,2024-05-02 05:00:00,112,262.6,43.0,3.0,64.0,40.0,16.0
30,Gujrāt,PK,2024-05-02 06:00:00,110,241.0,33.7,35.3,63.0,39.0,19.7
31,Gujrāt,PK,2024-05-02 07:00:00,107,219.4,24.3,67.7,62.0,38.0,23.3
32,Gujrāt,PK,2024-05-02 08:00:00,104,197.8,15.0,100.0,61.0,37.0,27.0
33,Gujrāt,PK,2024-05-02 09:00:00,90,165.5,10.7,123.0,49.7,30.67,29.0
34,Gujrāt,PK,2024-05-02 10:00:00,82,133.3,6.3,146.0,38.3,24.33,31.0
35,Gujrāt,PK,2024-05-02 11:00:00,103,101.0,2.0,169.0,27.0,18.0,33.0
36,Gujrāt,PK,2024-05-02 12:00:00,102,93.4,2.0,166.3,26.7,17.0,27.3
37,Gujrāt,PK,2024-05-02 13:00:00,101,85.8,2.0,163.7,26.3,16.0,21.7
38,Gujrāt,PK,2024-05-02 14:00:00,100,78.2,2.0,161.0,26.0,15.0,16.0
