timestamp_local,temp,city_name,country_code,aqi,co,no2,o3,pm10,pm25,so2
2024-03-01T00:00:00,17.4,Gujrāt,PK,163,307.8,19,43,98.3,65,35.7
2024-03-01T01:00:00,17,Gujrāt,PK,161,303.9,18,42,96.7,64,35.3
2024-03-01T02:00:00,16.7,Gujrāt,PK,160,300,17,41,95,63,35
2024-03-01T03:00:00,15.9,Gujrāt,PK,151,297.6,16,37.3,84.3,56.33,31.3
2024-03-01T04:00:00,15.9,Gujrāt,PK,139,295.3,15,33.7,73.7,49.67,27.7
2024-03-01T05:00:00,15.9,Gujrāt,PK,121,293,14,30,63,43,24
2024-03-01T06:00:00,15.6,Gujrāt,PK,122,283.8,14.3,30.3,65.7,43.67,26
2024-03-01T07:00:00,14.8,Gujrāt,PK,124,274.7,14.7,30.7,68.3,44.33,28
2024-03-01T08:00:00,15.2,Gujrāt,PK,126,265.5,15,31,71,45,30
2024-03-01T09:00:00,15.6,Gujrāt,PK,132,268.7,14.7,38.3,76,47.33,30.7
2024-03-01T10:00:00,15.6,Gujrāt,PK,139,271.8,14.3,45.7,81,49.67,31.3
2024-03-01T11:00:00,15.6,Gujrāt,PK,145,274.9,14,53,86,52,32
2024-03-01T12:00:00,15.2,Gujrāt,PK,141,257.6,12.3,66,83.3,50.67,29.7
2024-03-01T13:00:00,15.9,Gujrāt,PK,138,240.2,10.7,79,80.7,49.33,27.3
2024-03-01T14:00:00,15.9,Gujrāt,PK,134,222.9,9,92,78,48,25
2024-03-01T15:00:00,17,Gujrāt,PK,108,173.5,8,84.7,66,38.33,19.3
2024-03-01T16:00:00,18.1,Gujrāt,PK,86,124.1,7,77.3,54,28.67,13.7
2024-03-01T17:00:00,17.8,Gujrāt,PK,65,74.7,6,70,42,19,8
2024-03-01T18:00:00,17,Gujrāt,PK,72,80.5,7,68.7,49.7,22,8.7
2024-03-01T19:00:00,15.9,Gujrāt,PK,78,86.4,8,67.3,57.3,25,9.3
2024-03-01T20:00:00,15.2,Gujrāt,PK,85,92.2,9,66,65,28,10
2024-03-01T21:00:00,14.8,Gujrāt,PK,87,94,8.7,65,65,29,11
2024-03-01T22:00:00,14.4,Gujrāt,PK,89,95.7,8.3,64,65,30,12
2024-03-01T23:00:00,14.8,Gujrāt,PK,91,97.5,8,63,65,31,13
2024-03-02T00:00:00,14.8,Gujrāt,PK,90,92,7,63,62,30.33,13
2024-03-02T01:00:00,14.4,Gujrāt,PK,88,86.6,6,63,59,29.67,13
